Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
IL10	3586	Ulcerative Colitis	C0009324	disease	Digestive System Diseases	Disease or Syndrome	914	696	0.5	no reported evidence	0.9047619	46	1	1995.0	2017.0
IL10	3586	Crohn Disease	C0010346	disease	Digestive System Diseases	Disease or Syndrome	911	956	0.5	no reported evidence	0.9454545	58	4	1996.0	2018.0
IL10	3586	Diabetes Mellitus, Insulin-Dependent	C0011854	disease	Endocrine System Diseases; Immune System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	955	775	0.5	no reported evidence	1.0	30	1	2000.0	2016.0
IL10	3586	Lupus Erythematosus, Systemic	C0024141	disease	Immune System Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1112	674	0.5	no reported evidence	0.9777778	94	2	1994.0	2017.0
IL10	3586	prostatitis	C0033581	disease	Male Urogenital Diseases	Disease or Syndrome	33	1	0.5	no reported evidence		2	0	2002.0	2010.0
VDR	7421	Alopecia	C0002170	disease	Pathological Conditions, Signs and Symptoms; Skin and Connective Tissue Diseases	Disease or Syndrome	215	20	0.5	no reported evidence	0.92	28	0	1993.0	2016.0
SIGMAR1	10280	Amyotrophic Lateral Sclerosis	C0002736	disease	Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	659	259	0.49	no reported evidence	1.0	10	1	2012.0	2018.0
CYP19A1	1588	Osteoporosis	C0029456	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	440	82	0.48	no reported evidence	1.0	9	0	2001.0	2010.0
GALT	2592	Cataract	C0086543	disease	Eye Diseases	Acquired Abnormality	518	42	0.43	strong	1.0	3	1	1993.0	2009.0
ACHE	43	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.4	no reported evidence	0.969230769230769	66	0	1991.0	2018.0
ACHE	43	Amyloidosis	C0002726	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	832	120	0.4	no reported evidence	1.0	16	0	1996.0	2016.0
CYP19A1	1588	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.4	no reported evidence	0.939130434782609	118	13	1994.0	2018.0
CYP19A1	1588	Female infertility	C0021361	phenotype	Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	33	1	0.4	no reported evidence		1	0	2004.0	2004.0
CYP19A1	1588	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.4	no reported evidence	1.0	10	4	2001.0	2014.0
CYP19A1	1588	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.4	no reported evidence	0.946428571428571	115	13	1994.0	2018.0
CYP19A1	1588	Primary hypogonadism	C0948896	disease	Endocrine System Diseases	Disease or Syndrome	67	0	0.4	no reported evidence		1	0	1997.0	1997.0
CYP19A1	1588	Mammary Neoplasms	C1458155	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	2386	303	0.4	no reported evidence	1.0	43	0	1997.0	2017.0
CYP19A1	1588	Steatohepatitis	C2711227	disease	Digestive System Diseases	Disease or Syndrome	568	41	0.4	no reported evidence		1	0	2002.0	2002.0
GALT	2592	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.4	strong		0	0		
IL10	3586	Rheumatoid Arthritis	C0003873	disease	Immune System Diseases; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1832	1878	0.4	no reported evidence	0.954023	89	2	1994.0	2018.0
IL10	3586	Non-Small Cell Lung Carcinoma	C0007131	disease	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	2242	362	0.4	no reported evidence	1.0	14	0	1997.0	2017.0
IL10	3586	Dermatitis, Atopic	C0011615	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Immune System Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	483	173	0.4	no reported evidence	1.0	23	0	1995.0	2016.0
IL10	3586	Graft-vs-Host Disease	C0018133	disease	Immune System Diseases	Disease or Syndrome	225	8	0.4	no reported evidence	0.9333333	15	0	1998.0	2013.0
IL10	3586	HIV Infections	C0019693	group	Immune System Diseases; Virus Diseases	Disease or Syndrome	805	54	0.4	no reported evidence	0.969697	34	0	1992.0	2016.0
IL10	3586	Irritable Bowel Syndrome	C0022104	disease	Digestive System Diseases	Disease or Syndrome	166	36	0.4	no reported evidence	1.0	16	2	2002.0	2016.0
IL10	3586	Leishmaniasis, Cutaneous	C0023283	disease	Parasitic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	49	3	0.4	no reported evidence	1.0	11	0	1994.0	2017.0
IL10	3586	Leishmaniasis, Visceral	C0023290	disease	Parasitic Diseases	Disease or Syndrome	85	7	0.4	no reported evidence	1.0	14	3	1993.0	2016.0
IL10	3586	Multiple Sclerosis	C0026769	disease	Immune System Diseases; Nervous System Diseases	Disease or Syndrome	1105	745	0.4	no reported evidence	0.9642857	30	0	1997.0	2018.0
IL10	3586	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.4	no reported evidence	0.7272727	16	0	2001.0	2010.0
IL10	3586	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.4	no reported evidence	1.0	14	1	2002.0	2016.0
IL10	3586	Septicemia	C0036690	disease	Bacterial Infections and Mycoses; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	467	63	0.4	no reported evidence	0.8846154	26	1	2000.0	2016.0
IL10	3586	Sepsis	C0243026	disease	Bacterial Infections and Mycoses; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	528	63	0.4	no reported evidence	0.9189189	37	1	2000.0	2017.0
IL10	3586	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.4	no reported evidence	0.9473684	20	4	2001.0	2018.0
VDR	7421	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.4	no reported evidence	0.9680851	94	8	1995.0	2018.0
VDR	7421	Hyperparathyroidism, Secondary	C0020503	disease	Endocrine System Diseases	Disease or Syndrome	37	1	0.4	no reported evidence	0.8947368	21	0	1996.0	2016.0
VDR	7421	Multiple Sclerosis	C0026769	disease	Immune System Diseases; Nervous System Diseases	Disease or Syndrome	1105	745	0.4	no reported evidence	0.9090909	33	5	2000.0	2018.0
VDR	7421	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.4	no reported evidence	1.0	18	0	2002.0	2011.0
VDR	7421	Vitamin D Deficiency	C0042870	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	37	6	0.4	no reported evidence	0.925	41	0	1998.0	2018.0
VDR	7421	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.4	no reported evidence	0.9746835	80	6	1996.0	2016.0
VDR	7421	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.4	no reported evidence	0.9569892	93	8	1995.0	2018.0
VDR	7421	Mammary Neoplasms	C1458155	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	2386	303	0.4	no reported evidence	0.7	17	0	1998.0	2015.0
IL10	3586	Enterocolitis	C0014356	disease	Digestive System Diseases	Disease or Syndrome	24	0	0.39	no reported evidence	1.0	10	0	2003.0	2016.0
IL10	3586	Lung Neoplasms	C0024121	group	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	1176	23	0.39	no reported evidence	1.0	10	0	1998.0	2014.0
IL10	3586	Malignant neoplasm of lung	C0242379	disease	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	2448	409	0.38	no reported evidence	1.0	9	1	1999.0	2014.0
VDR	7421	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.37	no reported evidence	1.0	7	1	2002.0	2016.0
CYP19A1	1588	Neoplasm Metastasis	C0027627	phenotype	Neoplasms; Pathological Conditions, Signs and Symptoms	Neoplastic Process	3919	129	0.35	no reported evidence	1.0	6	0	2003.0	2017.0
IL10	3586	Glomerulonephritis	C0017658	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	209	3	0.35	no reported evidence	1.0	6	0	1998.0	2014.0
IL10	3586	Inflammation	C0021368	phenotype	Pathological Conditions, Signs and Symptoms	Pathologic Function	428	18	0.35	no reported evidence		6	0	2001.0	2008.0
IL10	3586	Leishmaniasis	C0023281	disease	Parasitic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	67	2	0.35	no reported evidence	1.0	7	0	1997.0	2016.0
IL10	3586	Adult T-Cell Lymphoma/Leukemia	C0023493	disease	Hemic and Lymphatic Diseases; Immune System Diseases; Neoplasms	Neoplastic Process	499	5	0.35	no reported evidence	1.0	6	0	1996.0	2018.0
VDR	7421	Malignant Neoplasms	C0006826	group	Neoplasms	Neoplastic Process	1437	87	0.35	no reported evidence	0.8	6	0	1999.0	2018.0
VDR	7421	Uremia	C0041948	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	66	0	0.35	no reported evidence	1.0	6	0	1996.0	2016.0
SIGMAR1	10280	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.35	no reported evidence	0.5	5	1	2000.0	2012.0
ACHE	43	Presenile dementia	C0011265	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	361	102	0.34	no reported evidence	1.0	6	0	2006.0	2016.0
ACHE	43	Memory impairment	C0233794	phenotype	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	266	22	0.34	no reported evidence	1.0	5	0	2006.0	2014.0
CYP19A1	1588	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.34	no reported evidence		6	0	2006.0	2009.0
IL10	3586	Kidney Failure, Acute	C0022660	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	309	8	0.34	no reported evidence	1.0	5	0	2005.0	2017.0
VDR	7421	Neoplasms	C0027651	group	Neoplasms	Neoplastic Process	1235	103	0.34	no reported evidence	1.0	5	0	1999.0	2018.0
CYP19A1	1588	Endometrioma	C0269102	disease	Female Urogenital Diseases and Pregnancy Complications	Neoplastic Process	228	2	0.33	no reported evidence	0.666666666666667	5	0	2009.0	2014.0
CYP19A1	1588	Oestrogen deficiency	C0853662	disease		Disease or Syndrome	35	1	0.33	no reported evidence	1.0	3	1	2007.0	2011.0
IL10	3586	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.33	no reported evidence	0.6666667	3	0	2008.0	2011.0
IL10	3586	Diabetes, Autoimmune	C0205734	disease	Endocrine System Diseases; Immune System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	110	3	0.33	no reported evidence	1.0	4	0	2003.0	2012.0
SIGMAR1	10280	Frontotemporal Lobar Degeneration	C0751072	disease	Mental Disorders; Nervous System Diseases; Nutritional and Metabolic Diseases	Mental or Behavioral Dysfunction	97	37	0.33	no reported evidence	0.6666667	4	0	2010.0	2014.0
ACHE	43	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.32	no reported evidence	1.0	2	0	2002.0	2013.0
ACHE	43	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.32	no reported evidence	1.0	2	0	2002.0	2013.0
CYP19A1	1588	Adenocarcinoma	C0001418	group	Neoplasms	Neoplastic Process	1711	67	0.32	no reported evidence	1.0	3	1	2008.0	2014.0
IL10	3586	Reperfusion Injury	C0035126	disease	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Injury or Poisoning	109	0	0.32	no reported evidence		3	0	2002.0	2008.0
IL10	3586	Crohn's disease of large bowel	C0156147	disease	Digestive System Diseases	Disease or Syndrome	77	1	0.32	no reported evidence	1.0	3	0	2005.0	2010.0
IL10	3586	Hepatitis, Autoimmune	C0241910	disease	Digestive System Diseases; Immune System Diseases	Disease or Syndrome	128	8	0.32	no reported evidence	1.0	3	0	1999.0	2012.0
IL10	3586	Severe Sepsis	C1719672	disease	Bacterial Infections and Mycoses; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	102	16	0.32	no reported evidence	1.0	3	0	2000.0	2007.0
IL10	3586	Mechanical Allodynia	C2936719	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	107	3	0.32	no reported evidence	1.0	4	0	1995.0	2007.0
VDR	7421	Epilepsy, Temporal Lobe	C0014556	disease	Nervous System Diseases	Disease or Syndrome	180	11	0.32	no reported evidence	1.0	2	0	2008.0	2016.0
ACHE	43	Renal Cell Carcinoma	C0007134	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	1347	175	0.31	no reported evidence	1.0	2	0	2008.0	2010.0
ACHE	43	nervous system disorder	C0027765	group	Nervous System Diseases	Disease or Syndrome	435	13	0.31	no reported evidence	1.0	2	0	2000.0	2012.0
CYP19A1	1588	Osteoporosis, Age-Related	C0001787	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	81	0	0.31	no reported evidence	1.0	2	0	2004.0	2010.0
CYP19A1	1588	Autistic Disorder	C0004352	group	Mental Disorders	Mental or Behavioral Dysfunction	676	237	0.31	no reported evidence	1.0	1	0	2011.0	2011.0
CYP19A1	1588	Hypogonadism	C0020619	disease	Endocrine System Diseases	Disease or Syndrome	204	8	0.31	no reported evidence	1.0	2	0	1997.0	2005.0
CYP19A1	1588	Depressive Symptoms	C0086132	phenotype	Behavior and Behavior Mechanisms	Sign or Symptom	146	62	0.31	no reported evidence	1.0	1	1	2006.0	2006.0
CYP19A1	1588	Alcohol withdrawal syndrome	C0236663	disease		Disease or Syndrome	40	4	0.31	no reported evidence	1.0	1	0	2011.0	2011.0
CELSR2	1952	Hypercholesterolemia, Familial	C0020445	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	153	1189	0.31	limited	1.0	2	0	2013.0	2015.0
GALT	2592	UDPglucose 4-epimerase deficiency disease	C0751161	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	3	17	0.31	no reported evidence	1.0	2	0	2001.0	2013.0
IL10	3586	Hepatolenticular Degeneration	C0019202	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Digestive System Diseases; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	68	220	0.31	no reported evidence	1.0	2	0	2012.0	2014.0
IL10	3586	Ileitis	C0020877	disease	Digestive System Diseases	Disease or Syndrome	28	0	0.31	no reported evidence	1.0	2	0	2015.0	2016.0
IL10	3586	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.31	no reported evidence		3	0	2006.0	2008.0
IL10	3586	Depressive Symptoms	C0086132	phenotype	Behavior and Behavior Mechanisms	Sign or Symptom	146	62	0.31	no reported evidence	1.0	1	0	2012.0	2012.0
IL10	3586	Dermatitis, Allergic Contact	C0162820	disease	Immune System Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	106	0	0.31	no reported evidence	1.0	2	0	1997.0	2005.0
IL10	3586	Hyperalgesia, Thermal	C0751214	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	108	0	0.31	no reported evidence	1.0	3	0	1995.0	2007.0
IL10	3586	IIeocolitis	C0949272	disease	Digestive System Diseases	Disease or Syndrome	45	2	0.31	no reported evidence	1.0	2	0	2001.0	2010.0
VDR	7421	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.31	no reported evidence	1.0	1	0	2013.0	2013.0
VDR	7421	Cerebral Infarction	C0007785	disease	Cardiovascular Diseases; Nervous System Diseases	Disease or Syndrome	282	32	0.31	no reported evidence	1.0	2	0	2009.0	2015.0
VDR	7421	Lead Poisoning	C0023176	disease	Substance-Related Disorders	Injury or Poisoning	6	0	0.31	no reported evidence		3	0	2003.0	2014.0
VDR	7421	Depressive Symptoms	C0086132	phenotype	Behavior and Behavior Mechanisms	Sign or Symptom	146	62	0.31	no reported evidence	1.0	1	0	2009.0	2009.0
SIGMAR1	10280	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.31	no reported evidence	1.0	1	0	2004.0	2004.0
SIGMAR1	10280	Amnesia	C0002622	disease	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	57	2	0.31	no reported evidence	1.0	2	0	2001.0	2002.0
SIGMAR1	10280	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.31	no reported evidence	1.0	2	0	2005.0	2017.0
SRRT	51593	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.31	no reported evidence	1.0	1	0	2012.0	2012.0
SRRT	51593	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.31	no reported evidence	1.0	1	0	2012.0	2012.0
SRRT	51593	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.31	no reported evidence	1.0	1	0	2012.0	2012.0
BTNL2	56244	Berylliosis	C0005138	disease	Occupational Diseases; Respiratory Tract Diseases	Injury or Poisoning	11	0	0.31	no reported evidence		1	0	2008.0	2008.0
ACHE	43	Drug toxicity	C0013221	group	Substance-Related Disorders	Injury or Poisoning	82	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Growth Disorders	C0018273	group	Pathological Conditions, Signs and Symptoms	Pathologic Function	38	0	0.3	no reported evidence		1	0	2013.0	2013.0
ACHE	43	Jacksonian Seizure	C0022333	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	100	0	0.3	no reported evidence		2	0	2010.0	2017.0
ACHE	43	Learning Disorders	C0023186	group	Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	35	1	0.3	no reported evidence		1	0	2008.0	2008.0
ACHE	43	Liver Cirrhosis, Experimental	C0023893	disease	Digestive System Diseases	Experimental Model of Disease	800	0	0.3	no reported evidence		1	0	2006.0	2006.0
ACHE	43	Memory Disorders	C0025261	disease	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	43	0	0.3	no reported evidence		1	0	2008.0	2008.0
ACHE	43	Movement Disorders	C0026650	group	Nervous System Diseases	Disease or Syndrome	168	6	0.3	no reported evidence		1	0	2009.0	2009.0
ACHE	43	Muscular Dystrophy	C0026850	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	202	29	0.3	no reported evidence		1	0	2013.0	2013.0
ACHE	43	Obesity	C0028754	disease	Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1960	811	0.3	no reported evidence		1	0	2018.0	2018.0
ACHE	43	Poisoning	C0032343	group	Substance-Related Disorders	Injury or Poisoning	16	0	0.3	no reported evidence		1	0	2007.0	2007.0
ACHE	43	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.3	no reported evidence		1	0	2010.0	2010.0
ACHE	43	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.3	no reported evidence	1.0	1	0	2015.0	2015.0
ACHE	43	Seizures	C0036572	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	1173	165	0.3	no reported evidence		2	0	2010.0	2017.0
ACHE	43	Tremor	C0040822	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	225	27	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Saturnine Tremor	C0040827	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Adverse reaction to drug	C0041755	group	Substance-Related Disorders	Pathologic Function	82	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Prenatal Injuries	C0086468	group	Female Urogenital Diseases and Pregnancy Complications	Injury or Poisoning	11	0	0.3	no reported evidence		1	0	2004.0	2004.0
ACHE	43	Senile Tremor	C0149840	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Complex partial seizures	C0149958	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	115	6	0.3	no reported evidence		2	0	2010.0	2017.0
ACHE	43	Persistent Tremor	C0234370	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Continuous Tremor	C0234371	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Intermittent Tremor	C0234372	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Fine Tremor	C0234373	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Coarse Tremor	C0234374	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Massive Tremor	C0234375	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Action Tremor	C0234376	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	53	1	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Passive Tremor	C0234377	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Static Tremor	C0234378	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	38	0	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Resting Tremor	C0234379	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	21	1	0.3	no reported evidence		1	0	2017.0	2017.0
ACHE	43	Darkness Tremor	C0234381	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	9	0	0.3	no reported evidence		1	0	2017.0	2017.0
