Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
ESR2	2100	Mammary Neoplasms	C1458155	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	2386	303	0.4	no reported evidence	0.916666666666667	43	0	1999.0	2017.0
ESR2	2100	Colorectal Cancer	C1527249	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	3298	955	0.4	no reported evidence	1.0	22	3	2004.0	2018.0
NTF3	4908	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.4	no reported evidence	0.8333333	13	0	1994.0	2008.0
HTRA1	5654	Macular Degeneration, Age-Related, 7	C1857813	disease	Eye Diseases	Disease or Syndrome	1	1	0.4	no reported evidence		5	1	2006.0	2010.0
HTRA1	5654	CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 2	C4225211	disease		Disease or Syndrome	1	6	0.4	no reported evidence		2	6	2015.0	2015.0
ARNTL	406	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.35	no reported evidence	1.0	6	0	2009.0	2017.0
ARNTL	406	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.35	no reported evidence	1.0	6	0	2009.0	2017.0
CRHR1	1394	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.35	no reported evidence	1.0	8	0	2006.0	2014.0
ESR2	2100	Endometrial Carcinoma	C0476089	disease	Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Neoplastic Process	839	145	0.35	no reported evidence	1.0	6	4	2001.0	2015.0
ESR2	2100	Coronary Artery Disease	C1956346	disease	Cardiovascular Diseases	Disease or Syndrome	980	861	0.35	no reported evidence	1.0	6	1	2005.0	2010.0
ARNTL	406	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.34	no reported evidence	1.0	7	0	2007.0	2016.0
CRHR1	1394	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.34	no reported evidence	1.0	5	0	2006.0	2014.0
ESR2	2100	Bladder Neoplasm	C0005695	group	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	1216	142	0.34	no reported evidence	1.0	4	0	2006.0	2016.0
ESR2	2100	Colorectal Neoplasms	C0009404	group	Digestive System Diseases; Neoplasms	Neoplastic Process	1072	226	0.34	no reported evidence	1.0	5	0	2004.0	2014.0
ESR2	2100	Medulloblastoma	C0025149	disease	Neoplasms	Neoplastic Process	589	66	0.34	no reported evidence	1.0	5	0	2009.0	2015.0
NTF3	4908	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.34	no reported evidence	1.0	4	0	2008.0	2015.0
CRHR1	1394	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.33	no reported evidence	0.5	4	0	2012.0	2014.0
ESR2	2100	Malignant neoplasm of urinary bladder	C0005684	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	1143	157	0.33	no reported evidence	1.0	4	0	2006.0	2016.0
ESR2	2100	Endometrial Neoplasms	C0014170	group	Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Neoplastic Process	237	39	0.33	no reported evidence		4	0	2003.0	2015.0
ESR2	2100	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.33	no reported evidence	0.666666666666667	3	0	2002.0	2012.0
IL6R	3570	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.33	no reported evidence	1.0	4	2	1994.0	2016.0
OPRD1	4985	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.33	no reported evidence	0.75	4	2	2007.0	2009.0
OPRD1	4985	Drug Dependence	C1510472	phenotype	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	174	18	0.33	no reported evidence	1.0	4	0	2008.0	2014.0
SERPINA3	12	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.32	no reported evidence	1.0	3	0	1998.0	2008.0
ARNTL	406	Seasonal Affective Disorder	C0085159	disease	Mental Disorders	Mental or Behavioral Dysfunction	30	10	0.32	no reported evidence	1.0	2	0	2008.0	2016.0
CRHR1	1394	Psychotic Disorders	C0033975	group	Mental Disorders	Mental or Behavioral Dysfunction	316	113	0.32	no reported evidence	1.0	2	0	2014.0	2015.0
CRHR1	1394	Nonorganic psychosis	C0349204	disease		Mental or Behavioral Dysfunction	219	60	0.32	no reported evidence	1.0	2	0	2014.0	2015.0
ESR2	2100	Coronary Arteriosclerosis	C0010054	disease	Cardiovascular Diseases	Disease or Syndrome	759	189	0.32	no reported evidence	1.0	3	1	2005.0	2010.0
ESR2	2100	Endometrioma	C0269102	disease	Female Urogenital Diseases and Pregnancy Complications	Neoplastic Process	228	2	0.32	no reported evidence	1.0	3	0	2000.0	2016.0
ESR2	2100	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.32	no reported evidence	1.0	2	0	2007.0	2016.0
NTF3	4908	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.32	no reported evidence	1.0	2	0	2008.0	2015.0
NTF3	4908	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.32	no reported evidence	1.0	2	0	2008.0	2014.0
OPRD1	4985	Substance Dependence	C0038580	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	139	13	0.32	no reported evidence	1.0	3	1	2000.0	2010.0
OPRD1	4985	Cocaine Dependence	C0600427	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	156	28	0.32	no reported evidence	1.0	2	3	2008.0	2013.0
ARNTL	406	Myeloid Leukemia, Chronic	C0023473	disease	Hemic and Lymphatic Diseases; Neoplasms	Neoplastic Process	875	64	0.31	no reported evidence	1.0	2	0	2006.0	2011.0
CRHR1	1394	Anhedonia	C0178417	disease	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	31	4	0.31	no reported evidence	1.0	1	0	2011.0	2011.0
CRHR1	1394	Hyperactive behavior	C0424295	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	708	59	0.31	no reported evidence	1.0	2	0	2009.0	2014.0
CRHR1	1394	Cocaine Dependence	C0600427	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	156	28	0.31	no reported evidence	1.0	2	0	2009.0	2018.0
ESR2	2100	Coronary heart disease	C0010068	disease	Cardiovascular Diseases	Disease or Syndrome	912	760	0.31	no reported evidence	1.0	2	1	2008.0	2009.0
ESR2	2100	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.31	no reported evidence	1.0	2	0	2007.0	2016.0
ESR2	2100	Severe depression	C0588008	disease		Mental or Behavioral Dysfunction	21	0	0.31	no reported evidence	1.0	1	0	2011.0	2011.0
IL6R	3570	Non-Small Cell Lung Carcinoma	C0007131	disease	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	2242	362	0.31	no reported evidence	1.0	1	0	2012.0	2012.0
IL6R	3570	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.31	no reported evidence	1.0	4	2	2002.0	2017.0
NTF3	4908	Diabetic Neuropathies	C0011882	group	Endocrine System Diseases; Nervous System Diseases	Disease or Syndrome	85	4	0.31	no reported evidence	1.0	2	0	2002.0	2010.0
NTF3	4908	Down Syndrome	C0013080	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	474	15	0.31	no reported evidence	1.0	2	0	1998.0	2006.0
OPRD1	4985	Drug abuse	C0013146	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	228	25	0.31	no reported evidence	1.0	3	1	2008.0	2018.0
HTRA1	5654	Lung Neoplasms	C0024121	group	Neoplasms; Respiratory Tract Diseases	Neoplastic Process	1176	23	0.31	no reported evidence		2	0	2006.0	2017.0
SERPINA3	12	Lipoidosis	C0023794	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	34	0	0.3	no reported evidence		3	0	2005.0	2007.0
SERPINA3	12	Prostatic Neoplasms	C0033578	group	Male Urogenital Diseases; Neoplasms	Neoplastic Process	1553	25	0.3	no reported evidence		1	0	2008.0	2008.0
ARNTL	406	Multiple congenital anomalies	C0000772	group	Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Congenital Abnormality	16	2	0.3	no reported evidence		1	0	2014.0	2014.0
ARNTL	406	Female infertility	C0021361	phenotype	Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	33	1	0.3	no reported evidence		1	0	2010.0	2010.0
ARNTL	406	Sterility, Postpartum	C0038279	phenotype	Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	28	0	0.3	no reported evidence		1	0	2010.0	2010.0
ARNTL	406	Myocardial Ischemia	C0151744	disease	Cardiovascular Diseases	Disease or Syndrome	447	44	0.3	no reported evidence		1	0	2005.0	2005.0
ARNTL	406	Hyperargininemia	C0268548	phenotype	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	8	10	0.3	no reported evidence		1	0	2016.0	2016.0
ARNTL	406	Subfertility, Female	C0341869	disease	Female Urogenital Diseases and Pregnancy Complications	Disease or Syndrome	28	0	0.3	no reported evidence		1	0	2010.0	2010.0
ARNTL	406	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.3	no reported evidence	1.0	2	0	2009.0	2010.0
ARNTL	406	Female sterility	C0917730	phenotype	Female Urogenital Diseases and Pregnancy Complications	Finding	28	0	0.3	no reported evidence		1	0	2010.0	2010.0
CRHR1	1394	Anorexia	C0003123	disease	Pathological Conditions, Signs and Symptoms	Disease or Syndrome	117	3	0.3	no reported evidence		1	0	2006.0	2006.0
CRHR1	1394	Cocaine Abuse	C0009171	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	127	2	0.3	no reported evidence		1	0	2009.0	2009.0
CRHR1	1394	Involutional Depression	C0011574	disease	Mental Disorders	Mental or Behavioral Dysfunction	19	0	0.3	no reported evidence		1	0	2013.0	2013.0
CRHR1	1394	Contact Dermatitis	C0011616	disease	Skin and Connective Tissue Diseases	Disease or Syndrome	86	3	0.3	no reported evidence		1	0	2003.0	2003.0
CRHR1	1394	Hyperalgesia	C0020429	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	118	3	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Pain, Postoperative	C0030201	phenotype	Pathological Conditions, Signs and Symptoms	Sign or Symptom	27	9	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Contact hypersensitivity	C0162351	phenotype	Skin and Connective Tissue Diseases	Pathologic Function	71	0	0.3	no reported evidence		1	0	2003.0	2003.0
CRHR1	1394	Cocaine-Related Disorders	C0236736	group	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	112	0	0.3	no reported evidence		1	0	2009.0	2009.0
CRHR1	1394	Anxiety States, Neurotic	C0376280	disease	Mental Disorders	Mental or Behavioral Dysfunction	39	0	0.3	no reported evidence		2	0	1997.0	2012.0
CRHR1	1394	Allodynia	C0458247	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Finding	83	0	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Hyperalgesia, Primary	C0751211	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	84	0	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Hyperalgesia, Secondary	C0751212	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	83	0	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Tactile Allodynia	C0751213	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	88	0	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Hyperalgesia, Thermal	C0751214	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	108	0	0.3	no reported evidence		1	0	2017.0	2017.0
CRHR1	1394	Hyperkinesia, Generalized	C0751217	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	32	0	0.3	no reported evidence		1	0	2009.0	2009.0
CRHR1	1394	Anxiety neurosis (finding)	C1279420	disease	Mental Disorders	Mental or Behavioral Dysfunction	52	1	0.3	no reported evidence		2	0	1997.0	2012.0
CRHR1	1394	Involutional paraphrenia	C1571983	disease	Mental Disorders	Mental or Behavioral Dysfunction	19	0	0.3	no reported evidence		1	0	2013.0	2013.0
CRHR1	1394	Psychosis, Involutional	C1571984	disease	Mental Disorders	Mental or Behavioral Dysfunction	19	0	0.3	no reported evidence		1	0	2013.0	2013.0
CRHR1	1394	Mechanical Allodynia	C2936719	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	107	3	0.3	no reported evidence		1	0	2017.0	2017.0
ESR2	2100	Cardiac Arrhythmia	C0003811	phenotype	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Finding	131	29	0.3	no reported evidence		1	0	2012.0	2012.0
ESR2	2100	Astrocytoma	C0004114	disease	Neoplasms	Neoplastic Process	740	44	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Carcinoma	C0007097	group	Neoplasms	Neoplastic Process	215	16	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Carcinoma, Transitional Cell	C0007138	disease	Neoplasms	Neoplastic Process	398	6	0.3	no reported evidence		1	0	2006.0	2006.0
ESR2	2100	Cocaine Abuse	C0009171	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	127	2	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Female infertility	C0021361	phenotype	Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	33	1	0.3	no reported evidence		1	0	2013.0	2013.0
ESR2	2100	Lithiasis	C0023869	phenotype	Pathological Conditions, Signs and Symptoms	Pathologic Function	1	0	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Animal Mammary Neoplasms	C0024667	group	Animal Diseases; Neoplasms	Neoplastic Process	144	0	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Mammary Neoplasms, Experimental	C0024668	group	Neoplasms	Experimental Model of Disease; Neoplastic Process	159	0	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Obesity	C0028754	disease	Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1960	811	0.3	no reported evidence	0.916666666666667	13	3	1999.0	2016.0
ESR2	2100	Sterility, Postpartum	C0038279	phenotype	Female Urogenital Diseases and Pregnancy Complications	Pathologic Function	28	0	0.3	no reported evidence		1	0	2013.0	2013.0
ESR2	2100	Adenocarcinoma, Basal Cell	C0205641	disease	Neoplasms	Neoplastic Process	116	0	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Adenocarcinoma, Oxyphilic	C0205642	disease	Neoplasms	Neoplastic Process	121	0	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Carcinoma, Cribriform	C0205643	disease	Neoplasms	Neoplastic Process	114	0	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Carcinoma, Granular Cell	C0205644	disease	Neoplasms	Neoplastic Process	114	0	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Adenocarcinoma, Tubular	C0205645	disease	Neoplasms	Neoplastic Process	124	1	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Anaplastic carcinoma	C0205696	disease	Neoplasms	Neoplastic Process	203	3	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Carcinoma, Spindle-Cell	C0205697	disease	Neoplasms	Neoplastic Process	187	2	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Undifferentiated carcinoma	C0205698	phenotype	Neoplasms	Neoplastic Process	236	2	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Carcinomatosis	C0205699	phenotype	Neoplasms	Neoplastic Process	175	2	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Subependymal Giant Cell Astrocytoma	C0205768	disease	Neoplasms	Neoplastic Process	38	1	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Medullomyoblastoma	C0205833	disease	Neoplasms	Neoplastic Process	43	0	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Cocaine-Related Disorders	C0236736	group	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	112	0	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Childhood Medulloblastoma	C0278510	disease	Neoplasms	Neoplastic Process	92	1	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Adult Medulloblastoma	C0278876	disease	Neoplasms	Neoplastic Process	63	0	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Juvenile Pilocytic Astrocytoma	C0280783	disease	Neoplasms	Neoplastic Process	36	1	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Diffuse Astrocytoma	C0280785	disease	Neoplasms	Neoplastic Process	65	4	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Prostatic Intraepithelial Neoplasias	C0282612	disease	Neoplasms	Neoplastic Process	173	0	0.3	no reported evidence		1	0	2006.0	2006.0
ESR2	2100	Anaplastic astrocytoma	C0334579	disease	Neoplasms	Neoplastic Process	165	6	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Protoplasmic astrocytoma	C0334580	disease	Neoplasms	Neoplastic Process	29	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Gemistocytic astrocytoma	C0334581	disease	Neoplasms	Neoplastic Process	42	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Fibrillary Astrocytoma	C0334582	disease	Neoplasms	Neoplastic Process	32	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Pilocytic Astrocytoma	C0334583	disease	Neoplasms	Neoplastic Process	121	3	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Childhood Cerebral Astrocytoma	C0338070	disease	Neoplasms	Neoplastic Process	26	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Subfertility, Female	C0341869	disease	Female Urogenital Diseases and Pregnancy Complications	Disease or Syndrome	28	0	0.3	no reported evidence		1	0	2013.0	2013.0
ESR2	2100	Mixed oligoastrocytoma	C0547065	disease	Neoplasms	Neoplastic Process	32	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Cocaine Dependence	C0600427	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	156	28	0.3	no reported evidence		1	0	2007.0	2007.0
ESR2	2100	Cerebral Astrocytoma	C0750935	disease	Neoplasms	Neoplastic Process	27	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Intracranial Astrocytoma	C0750936	disease	Neoplasms	Neoplastic Process	26	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Desmoplastic Medulloblastoma	C0751291	disease	Neoplasms	Neoplastic Process	51	4	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Female sterility	C0917730	phenotype	Female Urogenital Diseases and Pregnancy Complications	Finding	28	0	0.3	no reported evidence		1	0	2013.0	2013.0
ESR2	2100	Mammary Carcinoma, Animal	C1257925	disease	Animal Diseases; Neoplasms	Neoplastic Process	144	0	0.3	no reported evidence		1	0	2005.0	2005.0
ESR2	2100	Mammary Neoplasms, Human	C1257931	group	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	475	0	0.3	no reported evidence		3	0	2007.0	2010.0
ESR2	2100	Melanotic medulloblastoma	C1275668	disease	Neoplasms	Neoplastic Process	43	0	0.3	no reported evidence		1	0	2011.0	2011.0
ESR2	2100	Grade I Astrocytoma	C1704230	disease	Neoplasms	Neoplastic Process	31	0	0.3	no reported evidence		1	0	2015.0	2015.0
ESR2	2100	Familial medullary thyroid carcinoma	C1833921	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Neoplasms	Neoplastic Process	35	41	0.3	no reported evidence		0	0		
ESR2	2100	Familial Ménière disease	C4302111	disease		Disease or Syndrome	124	0	0.3	limited		1	0	2017.0	2017.0
IL6R	3570	Osteoporosis, Age-Related	C0001787	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	81	0	0.3	no reported evidence		1	0	2005.0	2005.0
IL6R	3570	Renal Cell Carcinoma	C0007134	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	1347	175	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.3	no reported evidence	1.0	1	0	2012.0	2012.0
IL6R	3570	Malignant neoplasm of stomach	C0024623	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	2397	341	0.3	no reported evidence		1	1	2006.0	2006.0
IL6R	3570	Osteoporosis	C0029456	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	440	82	0.3	no reported evidence		1	0	2005.0	2005.0
IL6R	3570	Osteoporosis, Senile	C0029459	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	63	2	0.3	no reported evidence		1	0	2005.0	2005.0
IL6R	3570	Stomach Neoplasms	C0038356	group	Digestive System Diseases; Neoplasms	Neoplastic Process	834	23	0.3	no reported evidence		1	0	2006.0	2006.0
IL6R	3570	Conventional (Clear Cell) Renal Cell Carcinoma	C0279702	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	630	29	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Post-Traumatic Osteoporosis	C0751406	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	59	0	0.3	no reported evidence		1	0	2005.0	2005.0
IL6R	3570	Chromophobe Renal Cell Carcinoma	C1266042	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	148	1	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Sarcomatoid Renal Cell Carcinoma	C1266043	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	127	0	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Collecting Duct Carcinoma of the Kidney	C1266044	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	137	0	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Papillary Renal Cell Carcinoma	C1306837	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases; Neoplasms	Neoplastic Process	168	2	0.3	no reported evidence		1	0	1995.0	1995.0
IL6R	3570	Hereditary Diffuse Gastric Cancer	C1708349	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	299	48	0.3	no reported evidence		1	0	2006.0	2006.0
NTF3	4908	Autistic Disorder	C0004352	group	Mental Disorders	Mental or Behavioral Dysfunction	676	237	0.3	no reported evidence		1	0	2006.0	2006.0
NTF3	4908	Tonic-Clonic Epilepsy	C0014549	disease	Nervous System Diseases	Disease or Syndrome	16	0	0.3	no reported evidence		1	0	2006.0	2006.0
NTF3	4908	Hyperalgesia	C0020429	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	118	3	0.3	no reported evidence		1	0	2005.0	2005.0
