Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
SORL1	6653	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.7	no reported evidence	0.9855072	79	12	2004	2018
KANSL1	284058	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.65	strong	1	6	0	2012	2018
ACE	1636	Allanson Pantzar McLeod syndrome	C0266313	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	4	20	0.64	no reported evidence	1	8	8	2005	2016
KANSL1	284058	Chromosome 17q21.31 Deletion Syndrome	C1864871	disease	Behavior and Behavior Mechanisms; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1	9	0.64	no reported evidence	0.75	10	9	1993	2018
BIN1	274	Myopathy, Centronuclear, Autosomal Recessive	C0410204	disease	Musculoskeletal Diseases; Nervous System Diseases	Congenital Abnormality; Disease or Syndrome	6	8	0.63	no reported evidence	1	5	6	2007	2013
KANSL1	284058	Alzheimer's Disease		disease	Mental Disorders; Nervous System Diseases			4	0.63	no reported evidence	1	1	6	2016	2016
BDNF	627	Congenital central hypoventilation	C1275808	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Respiratory Tract Diseases	Disease or Syndrome	26	10	0.62	no reported evidence	1	2	1	2002	2004
PSEN1	5663	Cardiomyopathy, Dilated	C0007193	group	Cardiovascular Diseases	Disease or Syndrome	418	387	0.62	moderate	1	3	0	2007	2014
PSEN1	5663	Alzheimer disease, familial, type 3	C1843013	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	4	89	0.61	no reported evidence	1	114	88	1993	2017
ABCA1	19	Familial HDL deficiency	C2931838	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	7	5	0.6	no reported evidence	1	22	5	1999	2017
BDNF	627	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.6	no reported evidence	0.975806451612903	126	7	1992	2018
BDNF	627	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.6	no reported evidence	1	99	6	2002	2017
BDNF	627	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.6	no reported evidence	1	188	6	2003	2018
BDNF	627	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.6	no reported evidence	1	192	6	2003	2018
BDNF	627	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.6	no reported evidence	1	76	6	2005	2018
COMT	1312	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.6	no reported evidence	1	51	2	1997	2018
COMT	1312	DiGeorge Syndrome	C0012236	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Hemic and Lymphatic Diseases; Musculoskeletal Diseases	Disease or Syndrome	73	3	0.6	no reported evidence	0.866666666666667	15	0	1997	2011
COMT	1312	Shprintzen syndrome	C0220704	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Hemic and Lymphatic Diseases; Musculoskeletal Diseases	Disease or Syndrome	37	3	0.6	no reported evidence	0.85	20	1	1997	2012
ACE	1636	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.6	no reported evidence	0.859375	71	4	1998	2018
ACE	1636	Heart failure	C0018801	disease	Cardiovascular Diseases	Disease or Syndrome	814	91	0.6	no reported evidence	0.96969696969697	72	1	1992	2017
ACE	1636	Congestive heart failure	C0018802	disease	Cardiovascular Diseases	Disease or Syndrome	883	65	0.6	no reported evidence	0.953846153846154	69	1	1992	2017
ACE	1636	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.6	no reported evidence	0.851963746223565	355	7	1986	2018
ACE	1636	Kidney Failure, Chronic	C0022661	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	436	101	0.6	no reported evidence	0.857142857142857	71	0	1995	2017
ACE	1636	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.6	no reported evidence	0.908571428571429	181	4	1992	2016
HMOX1	3162	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	disease	Endocrine System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1671	1522	0.6	no reported evidence	1	14	0	2002	2017
HMOX1	3162	Hypertensive disease	C0020538	group	Cardiovascular Diseases	Disease or Syndrome	1309	447	0.6	no reported evidence	1	18	0	1997	2016
HMOX1	3162	Chronic Obstructive Airway Disease	C0024117	disease	Respiratory Tract Diseases	Disease or Syndrome	668	408	0.6	no reported evidence	1	14	0	2005	2017
PSEN1	5663	Familial Alzheimer Disease (FAD)	C0276496	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	187	62	0.6	no reported evidence	0.9615385	247	28	1989	2018
PSEN2	5664	Cardiomyopathy, Dilated	C0007193	group	Cardiovascular Diseases	Disease or Syndrome	418	387	0.6	moderate		1	0	2007	2007
PSEN2	5664	Familial Alzheimer Disease (FAD)	C0276496	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	187	62	0.6	no reported evidence	0.9466667	77	8	1995	2017
PSEN2	5664	ALZHEIMER DISEASE 4	C1847200	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	3	12	0.6	no reported evidence		28	11	1993	2017
FRMD4A	55691	CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND CEREBELLAR ATAXIA	C4225193	disease		Disease or Syndrome	1	1	0.6	no reported evidence		1	1	2016	2016
SNCA	6622	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.56	no reported evidence	1	7	0	2005	2015
ACE	1636	Bipolar Disorder	C0005586	disease	Mental Disorders	Mental or Behavioral Dysfunction	836	665	0.55	no reported evidence	0.5	6	0	2000	2011
ACE	1636	Lung diseases	C0024115	group	Respiratory Tract Diseases	Disease or Syndrome	392	18	0.54	no reported evidence	0.75	7	0	1998	2012
HMOX1	3162	Heart failure	C0018801	disease	Cardiovascular Diseases	Disease or Syndrome	814	91	0.54	no reported evidence	1	6	0	2005	2016
BIN1	274	Autosomal Recessive Centronuclear Myopathy	C3645536	disease	Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	17	0	0.53	no reported evidence	1	3	0	2007	2013
BDNF	627	Status Epilepticus	C0038220	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	220	7	0.53	no reported evidence	1	6	0	1996	2016
HMOX1	3162	Colitis	C0009319	disease	Digestive System Diseases	Disease or Syndrome	607	6	0.53	no reported evidence	1	7	0	2006	2013
HMOX1	3162	Congestive heart failure	C0018802	disease	Cardiovascular Diseases	Disease or Syndrome	883	65	0.53	no reported evidence	1	5	0	2005	2013
HMOX1	3162	Kidney Failure, Acute	C0022660	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	309	8	0.53	no reported evidence	1	5	0	2000	2016
SORL1	6653	Familial Alzheimer Disease (FAD)	C0276496	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	187	62	0.53	no reported evidence	0.6666667	3	0	2006	2017
ABCA1	19	Colorectal Cancer	C1527249	disease	Digestive System Diseases; Neoplasms	Neoplastic Process	3298	955	0.52	no reported evidence	1	4	1	2003	2013
COMT	1312	Cocaine Dependence	C0600427	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	156	28	0.52	no reported evidence	1	3	1	2009	2011
BIN1	274	Myopathy, Centronuclear, Autosomal Dominant	C1834558	disease	Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	17	12	0.51	no reported evidence	1	2	0	2007	2015
COMT	1312	Depression, Bipolar	C0005587	disease	Mental Disorders	Mental or Behavioral Dysfunction	60	1	0.51	no reported evidence	0.5	3	0	2002	2006
PSEN1	5663	Hidradenitis suppurativa, familial	C1840560	disease	Bacterial Infections and Mycoses; Skin and Connective Tissue Diseases	Disease or Syndrome	10	0	0.51	strong	1	2	0	2010	2014
TREM2	54209	Familial Alzheimer Disease (FAD)	C0276496	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	187	62	0.51	no reported evidence	1	3	0	2015	2017
BDNF	627	CCHS WITH HIRSCHSPRUNG DISEASE	C1859049	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Respiratory Tract Diseases	Congenital Abnormality; Disease or Syndrome	9	6	0.5	no reported evidence		1	1	2002	2002
COMT	1312	CONOTRUNCAL ANOMALY FACE SYNDROME	C0795907	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Hemic and Lymphatic Diseases; Musculoskeletal Diseases	Disease or Syndrome	23	7	0.5	no reported evidence		1	0	1997	1997
COMT	1312	Attention deficit hyperactivity disorder	C1263846	disease	Mental Disorders	Mental or Behavioral Dysfunction	411	202	0.5	no reported evidence	0.918367346938776	49	4	1996	2018
ACE	1636	Renal Tubular Dysgenesis With Choanal Atresia And Athelia	C2678367	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Otorhinolaryngologic Diseases; Respiratory Tract Diseases	Disease or Syndrome	4	4	0.5	no reported evidence		1	0	2010	2010
PTK2B	2185	Status Epilepticus	C0038220	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	220	7	0.5	no reported evidence		1	0	2006	2006
HMOX1	3162	Status Epilepticus	C0038220	disease	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	220	7	0.5	no reported evidence		1	0	2011	2011
IRF5	3663	Rheumatoid Arthritis	C0003873	disease	Immune System Diseases; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1832	1878	0.5	no reported evidence	0.8695652	29	4	2005	2016
IRF5	3663	Lupus Erythematosus, Systemic	C0024141	disease	Immune System Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1112	674	0.5	no reported evidence	0.9662921	94	7	2005	2018
PSEN1	5663	Memory impairment	C0233794	phenotype	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	266	22	0.5	no reported evidence	0.9285714	16	2	2002	2018
PSEN1	5663	Pick Disease of the Brain	C0236642	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	104	51	0.5	no reported evidence	1	58	12	1995	2017
PSEN1	5663	Semantic Dementia	C0338462	disease	Mental Disorders; Nervous System Diseases; Nutritional and Metabolic Diseases	Mental or Behavioral Dysfunction	13	1	0.5	no reported evidence		1	0	2001	2001
PSEN1	5663	Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Unusual Plaques	C1843014	disease	Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	1	80	0.5	no reported evidence		43	80	1995	2016
PSEN1	5663	Cardiomyopathy, Dilated, 1u	C3160720	disease	Cardiovascular Diseases	Disease or Syndrome	1	1	0.5	no reported evidence		1	1	2007	2007
PSEN2	5664	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.5	no reported evidence	0.9781022	148	9	1995	2018
PSEN2	5664	Cardiomyopathy, Dilated, 1V	C3150958	disease	Cardiovascular Diseases	Disease or Syndrome	1	1	0.5	no reported evidence		1	1	2007	2007
SNCA	6622	Parkinsonian Disorders	C0242422	group	Nervous System Diseases	Disease or Syndrome	213	64	0.5	no reported evidence	0.98	58	3	1998	2018
SNCA	6622	PARKINSON DISEASE 4, AUTOSOMAL DOMINANT LEWY BODY (disorder)	C1854182	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1	0	0.5	no reported evidence		0	0		
TREM2	54209	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.5	no reported evidence	0.962963	82	3	2007	2018
COQ5	84274	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.5	strong		3	0	2009	2016
ABCA1	19	Hypoalphalipoproteinemias	C0473527	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	20	1	0.48	no reported evidence	1	8	0	2003	2011
TREM2	54209	Amyotrophic Lateral Sclerosis	C0002736	disease	Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	659	259	0.48	no reported evidence	0.875	8	1	2013	2016
BDNF	627	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.45	no reported evidence	1	6	2	1995	2010
IRF5	3663	Primary biliary cirrhosis	C0008312	disease	Digestive System Diseases	Disease or Syndrome	328	108	0.44	no reported evidence	1	5	1	2010	2015
PSEN1	5663	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.43	no reported evidence	1	6	0	2000	2012
PSEN1	5663	Memory Loss	C0751295	phenotype	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	125	2	0.43	no reported evidence	1	5	0	2008	2018
BDNF	627	Mental deficiency	C0917816	disease	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	1031	0	0.41	no reported evidence	1	2	0	2001	2010
ABCA1	19	Atherosclerosis	C0004153	disease	Cardiovascular Diseases	Disease or Syndrome	1133	131	0.4	no reported evidence	1	81	4	2000	2017
BIN1	274	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.4	no reported evidence	0.9375	33	0	2011	2018
BIN1	274	Alzheimer Disease, Late Onset	C0494463	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	252	110	0.4	no reported evidence	0.923076923076923	13	5	2011	2018
BDNF	627	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.4	no reported evidence	0.4	18	4	2005	2015
BDNF	627	Autistic Disorder	C0004352	group	Mental Disorders	Mental or Behavioral Dysfunction	676	237	0.4	no reported evidence	1	13	0	2005	2016
BDNF	627	Body Weight	C0005910	phenotype	Pathological Conditions, Signs and Symptoms	Organism Attribute	23	41	0.4	no reported evidence		3	1	2009	2012
BDNF	627	Epilepsy	C0014544	disease	Nervous System Diseases	Disease or Syndrome	1176	147	0.4	no reported evidence	0.888888888888889	19	0	1993	2018
BDNF	627	Obsessive-Compulsive Disorder	C0028768	disease	Mental Disorders	Mental or Behavioral Dysfunction	113	65	0.4	no reported evidence	1	23	4	2003	2016
BDNF	627	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.4	no reported evidence	0.952380952380952	44	4	1996	2018
BDNF	627	Psychotic Disorders	C0033975	group	Mental Disorders	Mental or Behavioral Dysfunction	316	113	0.4	no reported evidence	0.827586206896552	30	3	2005	2017
BDNF	627	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.4	no reported evidence	0.941935483870968	165	6	1999	2018
BDNF	627	Seizures	C0036572	phenotype	Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	1173	165	0.4	no reported evidence	1	17	2	1997	2018
BDNF	627	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.4	no reported evidence	1	70	3	2002	2018
BDNF	627	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.4	no reported evidence	1	109	9	2003	2018
BDNF	627	Bulimia Nervosa	C2267227	disease	Mental Disorders	Mental or Behavioral Dysfunction	41	16	0.4	no reported evidence	1	10	2	2004	2015
COMT	1312	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.4	no reported evidence	0.956521739130435	23	1	1999	2016
COMT	1312	Mental disorders	C0004936	group	Mental Disorders	Mental or Behavioral Dysfunction	328	77	0.4	no reported evidence	1	36	1	1998	2017
COMT	1312	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.4	no reported evidence	0.983050847457627	61	4	1998	2017
COMT	1312	Cognition Disorders	C0009241	group	Mental Disorders	Mental or Behavioral Dysfunction	236	29	0.4	no reported evidence	0.8	11	0	2006	2016
COMT	1312	Mental Depression	C0011570	disease	Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction	574	137	0.4	no reported evidence	1	42	2	1983	2018
COMT	1312	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.4	no reported evidence	1	42	2	1983	2018
COMT	1312	Marijuana Abuse	C0024809	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	61	16	0.4	no reported evidence	1	20	1	2005	2016
COMT	1312	Pain	C0030193	phenotype	Pathological Conditions, Signs and Symptoms	Sign or Symptom	484	101	0.4	no reported evidence	0.927710843373494	84	7	2003	2017
COMT	1312	Panic Disorder	C0030319	disease	Mental Disorders	Mental or Behavioral Dysfunction	92	57	0.4	no reported evidence	1	21	1	2002	2016
COMT	1312	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.4	no reported evidence	0.923076923076923	268	13	1984	2018
COMT	1312	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.4	no reported evidence	1	31	1	1998	2016
COMT	1312	Mood Disorders	C0525045	group	Mental Disorders	Mental or Behavioral Dysfunction	335	91	0.4	no reported evidence	0.8	21	1	1982	2015
COMT	1312	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.4	no reported evidence	0.983050847457627	61	4	1998	2017
COMT	1312	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.4	no reported evidence	1	39	2	2004	2018
ACE	1636	Atrial Fibrillation	C0004238	disease	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	287	216	0.4	no reported evidence	0.954545454545455	23	1	2000	2016
ACE	1636	Cardiovascular Diseases	C0007222	group	Cardiovascular Diseases	Disease or Syndrome	786	197	0.4	no reported evidence	0.902597402597403	159	3	1994	2018
ACE	1636	Cerebrovascular Disorders	C0007820	group	Cardiovascular Diseases; Nervous System Diseases	Disease or Syndrome	177	19	0.4	limited	0.785714285714286	14	1	1995	2013
ACE	1636	Coronary Arteriosclerosis	C0010054	disease	Cardiovascular Diseases	Disease or Syndrome	759	189	0.4	no reported evidence	0.895833333333333	97	2	1992	2016
ACE	1636	Coronary heart disease	C0010068	disease	Cardiovascular Diseases	Disease or Syndrome	912	760	0.4	no reported evidence	0.862068965517241	145	2	1992	2017
ACE	1636	Coughing	C0010200	phenotype	Pathological Conditions, Signs and Symptoms; Respiratory Tract Diseases	Sign or Symptom	92	9	0.4	no reported evidence	0.954545454545455	24	1	1997	2016
ACE	1636	Presenile dementia	C0011265	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	361	102	0.4	no reported evidence	0.9	14	2	1998	2015
ACE	1636	Depressive disorder	C0011581	disease	Mental Disorders	Mental or Behavioral Dysfunction	740	143	0.4	no reported evidence	1	14	1	1996	2017
ACE	1636	Diabetic Nephropathy	C0011881	disease	Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	560	110	0.4	no reported evidence	0.892307692307692	134	3	1994	2016
ACE	1636	IGA Glomerulonephritis	C0017661	disease	Female Urogenital Diseases and Pregnancy Complications; Immune System Diseases; Male Urogenital Diseases	Disease or Syndrome	236	48	0.4	no reported evidence	0.951219512195122	42	0	1995	2016
ACE	1636	Hypotension	C0020649	phenotype	Cardiovascular Diseases	Finding	88	0	0.4	no reported evidence		1	0	1987	1987
ACE	1636	Kidney Diseases	C0022658	group	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	638	93	0.4	no reported evidence	0.872	126	5	1994	2016
ACE	1636	Kidney Failure	C0035078	disease	Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	296	24	0.4	no reported evidence	0.733333333333333	16	1	1996	2014
ACE	1636	Schizophrenia	C0036341	disease	Mental Disorders	Mental or Behavioral Dysfunction	1922	1782	0.4	no reported evidence	1	15	1	2001	2018
ACE	1636	Cerebrovascular accident	C0038454	group	Cardiovascular Diseases; Nervous System Diseases	Disease or Syndrome	767	331	0.4	no reported evidence	0.811320754716981	54	0	1994	2017
ACE	1636	Unipolar Depression	C0041696	disease	Mental Disorders	Mental or Behavioral Dysfunction	516	378	0.4	no reported evidence	1	11	1	2002	2017
ACE	1636	Left Ventricular Hypertrophy	C0149721	disease	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	202	30	0.4	no reported evidence	0.842857142857143	75	1	1993	2016
ACE	1636	Major Depressive Disorder	C1269683	disease	Mental Disorders	Mental or Behavioral Dysfunction	512	210	0.4	no reported evidence	1	11	1	2002	2017
ACE	1636	Coronary Artery Disease	C1956346	disease	Cardiovascular Diseases	Disease or Syndrome	980	861	0.4	no reported evidence	0.883870967741936	162	4	1992	2017
HMOX1	3162	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.4	no reported evidence	0.8888889	20	1	1995	2016
HMOX1	3162	Anemia, Hemolytic	C0002878	disease	Hemic and Lymphatic Diseases	Disease or Syndrome	117	9	0.4	no reported evidence		1	0	1999	1999
HMOX1	3162	Coronary Arteriosclerosis	C0010054	disease	Cardiovascular Diseases	Disease or Syndrome	759	189	0.4	no reported evidence	0.8666667	15	0	2002	2015
HMOX1	3162	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.4	no reported evidence	1	14	2	1997	2017
HMOX1	3162	Malignant neoplasm of prostate	C0376358	disease	Male Urogenital Diseases; Neoplasms	Neoplastic Process	3238	563	0.4	no reported evidence	1	12	0	2009	2016
HMOX1	3162	Coronary Artery Disease	C1956346	disease	Cardiovascular Diseases	Disease or Syndrome	980	861	0.4	no reported evidence	0.8421053	20	0	2002	2018
IRF5	3663	Systemic Scleroderma	C0036421	disease	Skin and Connective Tissue Diseases	Disease or Syndrome	561	149	0.4	no reported evidence	1	13	2	2009	2018
PSEN1	5663	Amyloidosis	C0002726	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	832	120	0.4	no reported evidence	0.9230769	170	13	1996	2018
PSEN1	5663	Presenile dementia	C0011265	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	361	102	0.4	no reported evidence	0.9736842	51	15	1990	2018
PSEN1	5663	Alzheimer Disease, Late Onset	C0494463	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	252	110	0.4	no reported evidence	0.9333333	28	2	1995	2018
PSEN1	5663	Alzheimer Disease, Early Onset	C0750901	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	115	55	0.4	no reported evidence	0.9880952	97	26	1995	2018
PSEN2	5664	Presenile dementia	C0011265	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	361	102	0.4	no reported evidence	0.9	13	3	1997	2011
PSEN2	5664	Alzheimer Disease, Early Onset	C0750901	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	115	55	0.4	no reported evidence	1	22	6	1997	2017
SNCA	6622	Neurodegenerative Disorders	C0524851	group	Nervous System Diseases	Disease or Syndrome	744	41	0.4	no reported evidence	1	53	3	1999	2018
SNCA	6622	Young onset Parkinson disease	C4275179	disease		Disease or Syndrome	44	22	0.4	no reported evidence	0.9285714	14	3	1998	2018
SORL1	6653	Alzheimer Disease, Late Onset	C0494463	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	252	110	0.4	no reported evidence	1	16	4	2007	2018
TREM2	54209	Alzheimer Disease, Late Onset	C0494463	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	252	110	0.4	no reported evidence	1	13	3	2013	2017
FRMD4A	55691	Cerebellar Hypoplasia	C0266470	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Mental Disorders; Nervous System Diseases	Congenital Abnormality	143	6	0.4	limited		1	0	2016	2016
